member_id,signup_date,age,gender,city,country,membership_type,contract_length_months,monthly_fee,signup_channel,tenure_months,avg_weekly_visits,group_classes_attended,personal_training_sessions,distance_km_to_gym,has_mobile_app,satisfaction_score,late_payments_12m,referred_friends,exit_survey_completed,churned
NF-102256,2023-04-17,24.0,female,Portland,United States,Basic,12,$29.00,Website,28,2.81,10,6,0.61,Yes,,2,2,1,1
NF-102573,2023-03-24,44.0,F,Columbus,United States,Basic,1,$34.00,Mobile App,27,1.2,5,0,1.12,No,6.0,1,0,0,0
NF-101535,2023-09-12,26.0,F ,Portland,United States,Basic,12,$29.00,Walk-in,32,3.67,13,0,2.53,Yes,8.0,1,3,0,0
NF-100240,2023-06-08,37.0,Female,Portland,United States,Plus,12,$54.00,Mobile App,29,2.4,8,0,2.32,Yes,7.0,0,0,1,1
NF-100439,2022-07-10,37.0,Male,Columbus,United States,Plus,12,$49.00,Referral,18,1.42,5,0,1.89,Yes,,1,1,0,0
NF-101088,2021-12-09,17.0,M,Austin,United States,Basic,1,$29.00,Website,11,1.11,5,1,2.94,No,6.0,1,0,0,0
NF-101210,2022-10-14,34.0,Male,Denver,United States,Basic,1,$29.00,Walk-in,21,1.42,5,1,1.83,No,4.0,1,0,0,1
NF-102044,2022-10-06,27.0,Female,Raleigh,United States,Premium,12,$79.00,Referral,21,2.64,9,0,1.59,Yes,8.0,1,2,1,1
NF-100140,2022-09-29,29.0,F,Columbus,United States,Plus,12,$45.00,Walk-in,21,2.19,7,0,1.8,Yes,7.0,1,0,0,0
NF-102419,2022-08-06,33.0,M,Austin,United States,Plus,6,$45.00,Website,19,2.11,5,0,7.78,Yes,7.0,1,0,0,0
NF-900006,2021-03-19,43.0,Male,Austin,United States,Plus,6,$45.00,Walk-in,4,2.42,8,0,2.33,No,8.0,2,0,0,0
NF-102176,2022-10-07,32.0,M,Columbus,United States,Premium,12,$79.00,Website,21,2.39,8,0,0.59,No,7.0,0,1,0,1
NF-102948,2021-11-03,43.0,Male,Columbus,United States,Premium,12,$75.00,Referral,10,0.75,1,0,5.93,No,,1,0,1,1
NF-102336,2021-05-03,31.0,Male,Portland,United States,Plus,6,$49.00,Walk-in,4,2.12,7,0,7.99,Yes,8.0,0,0,0,0
NF-102978,2022-09-03,33.0,M,Austin,United States,Plus,6,$49.00,Walk-in,20,2.3,7,0,2.24,Yes,7.0,0,0,0,0
NF-101516,2023-02-16,,Female,Columbus,United States,Basic,1,$34.00,Walk-in,26,1.62,4,0,4.2,Yes,6.0,0,0,0,1
NF-101901,2022-10-16,28.0,Male,Denver,United States,Basic,1,$25.00,Website,21,1.93,5,0,5.28,Yes,4.0,1,0,0,1
NF-101523,2022-09-28,45.0,Male,Portland,United States,Premium,24,$79.00,Mobile App,21,3.36,10,0,4.23,Yes,7.0,1,0,0,0
NF-101796,2021-07-07,27.0,F,Denver,United States,Basic,6,$29.00,Partner Promo,6,0.42,2,1,1.95,No,5.0,0,0,0,0
NF-100867,2022-06-05,36.0,male,Denver,United States,Plus,1,$49.00,Mobile App,17,1.36,5,4,3.82,Yes,,0,0,0,1
NF-102215,2021-03-03,38.0,Male,Denver,United States,Premium,12,$84.00,Walk-in,2,2.64,8,0,8.87,Yes,6.0,0,0,0,0
NF-102471,2022-10-24,53.0,Female,Denver,United States,Premium,6,$79.00,Referral,22,1.97,6,0,5.71,Yes,6.0,3,0,1,1
NF-101412,2021-10-28,33.0,Other,Austin,United States,Basic,12,$29.00,Website,10,1.85,4,0,2.79,Yes,7.0,0,0,1,1
NF-100339,2021-04-20,37.0,F,Austin,United States,Basic,1,$29.00,Website,4,0.88,3,0,10.71,No,5.0,0,0,0,0
NF-100837,2021-10-20,33.0,male,Portland,United States,Basic,12,$34.00,Mobile App,10,1.28,4,0,3.75,Yes,4.0,1,0,0,0
NF-102692,2021-06-01,41.0,F,Austin,United States,Plus,12,$54.00,Mobile App,5,2.34,7,0,2.31,Yes,8.0,0,1,1,0
NF-100557,2021-08-01,46.0,female,Portland,United States,Basic,1,$25.00,Website,7,1.19,5,0,4.41,Yes,,0,0,1,1
NF-100558,2021-11-11,20.0,Male,Austin,United States,Plus,12,$49.00,Walk-in,10,2.71,8,2,4.73,Yes,7.0,1,1,0,0
NF-100194,2021-11-17,23.0, Male,Denver,United States,Basic,12,$29.00,Website,11,2.11,6,0,3.08,No,6.0,0,0,0,0
NF-100785,2021-05-17,26.0,Female,Portland,United States,Plus,6,$49.00,Walk-in,4,2.61,8,0,,Yes,,0,0,1,1
NF-100443,2023-04-21,51.0,Male,Columbus,United States,Basic,1,$29.00,Mobile App,28,2.24,7,0,7.61,No,10.0,0,0,0,0
NF-101028,2023-04-01,24.0,F,Denver,United States,Basic,1,$34.00,Walk-in,27,1.11,3,0,3.64,Yes,4.0,3,0,1,1
NF-102238,2023-03-22,16.0,F,Austin,United States,Basic,1,$29.00,Referral,27,2.2,7,3,2.12,Yes,7.0,0,0,0,0
NF-102853,2022-01-09,48.0,F ,Columbus,United States,Basic,1,$29.00,Website,12,2.24,8,0,4.74,Yes,7.0,0,2,0,0
NF-102750,2022-10-19,43.0,male,Raleigh,United States,Plus,1,$49.00,Mobile App,22,1.1,3,0,3.39,Yes,6.0,1,1,1,1
NF-100898,2021-06-16,27.0,F,Portland,United States,Plus,1,$49.00,Referral,5,1.12,3,3,2.24,Yes,6.0,0,0,1,1
NF-101491,2022-06-28,,Other,Denver,United States,Basic,1,$25.00,Mobile App,18,1.08,2,0,10.88,No,4.0,1,0,0,1
NF-102940,2022-12-14,40.0,Male,Austin,United States,Plus,12,$49.00,Referral,23,3.44,11,7,2.67,Yes,7.0,0,1,0,0
NF-102414,2022-10-01,22.0,F,Denver,United States,Basic,6,$29.00,Referral,21,2.11,8,0,,Yes,6.0,1,0,0,0
NF-101169,2022-11-09,31.0,Male,Denver,United States,Basic,6,$34.00,Walk-in,22,2.45,6,0,2.54,Yes,8.0,0,0,0,0
NF-101070,2022-02-12,38.0,MALE,Denver,United States,Plus,6,$54.00,Mobile App,13,1.52,6,4,10.16,No,6.0,0,1,0,0
NF-100034,2022-07-30,41.0,Male,Denver,United States,Premium,12,$79.00,Referral,19,2.05,7,0,,No,7.0,0,0,0,0
NF-102192,2023-09-09,20.0,female,Denver,United States,Plus,6,$49.00,Mobile App,32,1.54,4,2,1.19,No,5.0,0,0,0,0
NF-101582,2023-04-06,34.0,MALE,Columbus,United States,Basic,1,$29.00,Website,27,1.68,6,0,2.55,Yes,6.0,0,0,1,1
NF-100270,2022-08-17,45.0,Female,Raleigh,United States,Basic,1,$29.00,Website,20,1.57,5,0,4.57,No,5.0,1,0,1,1
NF-102640,2021-09-16,38.0,female,Austin,United States,Basic,1,$29.00,Referral,8,1.3,6,0,4.03,No,7.0,-1,0,0,0
NF-101754,2022-06-09,28.0,FEMALE,Portland,United States,Plus,1,$49.00,Referral,17,2.04,6,0,1.02,Yes,9.0,0,0,0,0
NF-102539,2021-03-12,35.0,Prefer not to say,Columbus,United States,Basic,12,$29.00,Mobile App,2,3.37,11,0,0.62,Yes,10.0,0,0,0,0
NF-102109,2022-08-18,41.0,female,Austin,United States,Plus,12,$45.00,Walk-in,20,1.97,5,2,,Yes,8.0,0,0,0,0
NF-100192,2021-09-28,38.0,Female,Columbus,United States,Plus,12,$49.00,Mobile App,9,2.07,8,0,2.25,No,7.0,0,0,0,0
NF-101344,2023-05-04,16.0,Prefer not to say,Austin,United States,Basic,1,$29.00,Website,28,2.32,7,3,4.51,Yes,9.0,0,0,0,0
NF-100856,2023-08-20,34.0,female,Columbus,United States,Plus,12,$49.00,Walk-in,32,2.12,7,2,1.04,Yes,,0,0,0,0
NF-101300,2023-09-04,21.0,Female,Raleigh,United States,Plus,24,$54.00,Mobile App,32,1.46,4,2,1.46,No,7.0,2,0,0,0
NF-102423,2021-05-06,36.0,Female,Denver,United States,Basic,6,$29.00,Mobile App,4,3.26,11,0,2.69,No,8.0,0,1,0,0
NF-100661,2021-10-08,20.0,Male,Austin,United States,Plus,12,$49.00,Walk-in,9,2.79,8,0,8.15,Yes,7.0,0,2,0,0
NF-100330,2021-07-20,27.0,male,Denver,United States,Premium,24,$79.00,Mobile App,7,1.48,7,2,1.38,Yes,6.0,1,0,0,0
NF-102018,2022-10-07,25.0,Male,Columbus,United States,Premium,24,$84.00,Mobile App,21,1.19,1,0,5.37,No,7.0,2,0,0,0
NF-101347,2022-01-12,26.0,M,Columbus,United States,Basic,1,$25.00,Mobile App,12,1.55,4,0,5.37,Yes,6.0,1,0,1,1
NF-102892,2021-07-17,26.0,F,Columbus,United States,Premium,12,$79.00,Mobile App,6,1.48,5,0,5.02,No,5.0,-1,0,1,1
NF-102338,2021-07-18,44.0,F,Portland,United States,Plus,12,$49.00,Mobile App,7,2.02,7,0,0.82,Yes,7.0,0,1,0,0
NF-101352,2022-11-04,41.0,male,Denver,United States,Basic,1,$29.00,Website,22,1.93,6,0,4.21,Yes,6.0,0,1,1,1
NF-100695,2021-10-28,59.0,Female,Columbus,United States,Premium,12,$79.00,Website,10,2.0,6,5,,Yes,6.0,0,0,1,1
NF-100563,2023-08-24,44.0,F,Austin,United States,Plus,6,$54.00,Website,32,0.91,4,3,2.65,No,,2,1,1,1
NF-100325,2022-10-09,42.0,Female,Denver,United States,Basic,6,$25.00,Website,21,1.89,6,0,,Yes,7.0,3,1,1,1
NF-101665,2023-05-07,46.0,Male,Raleigh,United States,Plus,6,$54.00,Mobile App,28,2.23,7,0,0.82,No,8.0,0,2,0,0
NF-101879,2022-09-27,39.0,Male,Columbus,United States,Premium,12,$79.00,Website,21,1.68,3,0,6.31,Yes,6.0,0,0,0,0
NF-101207,2022-01-18,43.0,Female,Columbus,United States,Plus,1,$49.00,Mobile App,13,1.66,5,3,2.62,Yes,6.0,0,0,0,0
NF-102708,2021-05-02,43.0,Male,Austin,United States,Plus,12,$54.00,Referral,4,2.78,12,5,9.88,No,,0,2,0,0
NF-100437,2022-06-01,29.0,Female,Denver,United States,Plus,24,$49.00,Website,17,1.61,6,0,3.55,Yes,6.0,0,0,0,0
NF-101317,2021-10-08,29.0,F ,Columbus,United States,Premium,24,$75.00,Referral,9,2.92,8,0,5.21,Yes,7.0,0,0,0,0
NF-102075,2022-11-08,,Female,Denver,United States,Basic,1,$25.00,Partner Promo,22,3.76,11,0,7.17,No,7.0,0,0,0,0
NF-100131,2022-04-01,37.0,FEMALE,Raleigh,United States,Basic,12,$25.00,Website,15,0.84,3,0,3.56,No,4.0,0,0,0,0
NF-102963,2021-06-25,48.0,Male,Austin,United States,Premium,6,$75.00,Referral,6,1.4,5,0,2.14,Yes,7.0,0,1,0,0
NF-101122,2022-03-21,61.0,Female,Columbus,United States,Plus,12,$45.00,Website,15,2.46,9,0,,Yes,6.0,0,1,0,0
NF-102381,2022-03-12,2.0,Female,Denver,United States,Basic,1,$29.00,Mobile App,14,1.51,5,0,1.77,No,7.0,0,0,1,1
NF-101395,2023-02-21,31.0,Female,Austin,United States,Basic,6,$34.00, ,26,1.85,7,6,1.42,Yes,7.0,0,1,1,1
NF-101597,2022-11-05,48.0,Male,Portland,United States,Basic,6,$29.00,Website,22,1.97,7,0,1.39,Yes,5.0,1,0,0,0
NF-102367,2022-08-17,37.0,female,Portland,United States,Plus,1,$54.00,Walk-in,20,3.25,12,2,2.35,Yes,8.0,0,0,1,1
NF-100824,2023-08-15,39.0,female,Portland,United States,Plus,12,$49.00,Website,31,2.55,7,0,3.83,Yes,6.0,0,1,0,0
NF-102519,2021-12-23,23.0,Male,Austin,United States,Plus,1,$49.00,Website,12,1.93,7,0,0.62,No,8.0,0,0,1,1
NF-100059,2022-12-30,23.0,Other,Austin,United States,Premium,12,$84.00,Referral,24,2.32,5,4,2.29,Yes,6.0,0,1,1,1
NF-100362,2023-06-15,,Male,Portland,United States,Basic,1,$29.00,Walk-in,29,1.44,7,0,5.57,No,6.0,1,0,1,1
NF-102699,2021-06-08,44.0,F,Austin,United States,Basic,1,$29.00,Referral,5,2.05,7,0,2.55,No,5.0,0,0,0,0
NF-102706,2023-08-06,60.0,F,Denver,United States,Basic,1,$34.00,Mobile App,31,2.96,11,7,4.55,Yes,9.0,0,0,0,0
NF-101547,2023-02-23,25.0,Male,Austin,United States,Basic,1,$34.00,Walk-in,26,3.78,9,0,2.9,Yes,7.0,1,1,0,0
NF-101978,2023-01-09,34.0,Male,Austin,United States,Plus,12,$49.00,Website,24,3.62,11,0,,Yes,7.0,0,1,0,0
NF-100654,2023-02-16,36.0,Other,Denver,United States,Basic,1,$29.00,Website,26,3.11,11,0,2.92,No,9.0,0,0,0,0
NF-101512,2022-01-29,36.0, Male,Raleigh,United States,Plus,6,$49.00,Walk-in,13,1.83,6,0,8.1,Yes,,2,0,0,0
NF-101392,2021-11-22,28.0,female,Austin,United States,Plus,6,$49.00,Mobile App,11,1.95,5,3,1.11,No,5.0,0,0,0,0
NF-100263,2021-07-17,16.0,M,Raleigh,United States,Plus,6,$49.00,Website,6,2.86,10,0,2.63,Yes,7.0,0,0,0,0
NF-102319,2021-02-17,31.0,female,Denver,United States,Basic,12,$29.00,Referral,2,1.82,6,11,4.16,Yes,7.0,0,1,0,0
NF-101958,2021-07-16,40.0,Male,Portland,United States,Premium,6,$84.00,Website,6,1.12,3,0,2.36,No,5.0,0,0,1,1
NF-100293,2021-12-11,23.0,Male,Denver,United States,Plus,12,$49.00,Mobile App,11,3.31,10,0,6.16,Yes,8.0,0,0,0,0
NF-100981,2021-02-05,46.0,Female,Denver,United States,Basic,6,$29.00,Mobile App,1,2.12,8,7,1.95,No,7.0,1,0,0,0
NF-102564,2021-12-09,17.0,Female,Raleigh,United States,Premium,12,$79.00,Referral,11,2.18,8,0,3.85,Yes,6.0,0,0,0,0
NF-101440,2022-07-11,60.0,Female,Austin,United States,Basic,6,$29.00,Mobile App,18,0.49,3,0,2.62,No,3.0,1,0,0,0
NF-100902,2022-02-10,60.0,Female,Raleigh,United States,Plus,12,$49.00,Walk-in,13,2.12,5,1,6.73,Yes,5.0,0,0,0,0
NF-102090,2023-01-09,38.0,Male,Columbus,United States,Premium,6,$79.00,Mobile App,24,3.4,10,0,7.2,Yes,9.0,0,1,0,0
NF-102887,2022-09-28,59.0,M,Denver,United States,Basic,1,$29.00,Website,21,1.27,5,0,7.53,Yes,,1,1,1,1
NF-100303,2022-05-11,42.0,MALE,Austin,United States,Basic,1,$34.00,Website,16,1.82,4,5,12.97,No,6.0,0,0,1,1
NF-101201,2022-01-14,27.0,M,Raleigh,United States,Plus,6,$45.00,Walk-in,12,3.29,11,0,9.76,Yes,7.0,0,1,1,1
NF-102526,2022-04-18,41.0,Male,Denver,United States,Premium,24,$75.00,Walk-in,16,2.72,10,1,2.96,Yes,8.0,0,0,0,0
NF-102437,2023-03-31,31.0,Female,Austin,United States,Premium,24,$79.00,Walk-in,27,2.4,8,0,0.79,Yes,9.0,0,0,0,0
NF-102840,2022-06-05,30.0,Male,Austin,United States,Basic,1,$25.00,Website,17,1.39,6,0,0.76,No,7.0,1,0,0,0
NF-102294,2022-05-04,33.0,male,Columbus,United States,Plus,12,$54.00,Website,16,2.35,7,0,3.08,Yes,,0,1,0,0
NF-100391,2021-10-09,36.0,M,Austin,United States,Premium,24,$79.00,Referral,9,1.49,5,3,2.44,Yes,7.0,0,0,0,0
NF-102725,2022-05-19,32.0,F,Austin,United States,Plus,6,$49.00,Website,17,1.7,7,0,1.33,Yes,6.0,-1,0,0,0
NF-100361,2021-02-09,49.0,Male,Denver,United States,Premium,12,$79.00,Walk-in,1,3.04,8,0,7.01,No,6.0,0,0,0,0
NF-100356,2022-12-05,38.0,Male,Columbus,United States,Plus,12,$49.00,Website,23,2.17,6,3,5.47,Yes,,2,0,0,0
NF-100091,2023-07-03,,Female,Raleigh,United States,Plus,1,$49.00,Website,30,1.71,5,0,11.1,Yes,7.0,2,0,1,1
NF-101141,2023-06-23,59.0,MALE,Columbus,United States,Premium,12,$79.00,Mobile App,30,1.16,4,4,1.46,Yes,5.0,0,0,0,0
NF-102654,2022-03-01,33.0,F,Denver,United States,Plus,12,$49.00,Mobile App,14,0.94,2,0,2.4,No,3.0,2,0,1,1
NF-100073,2022-03-15,22.0,M,Denver,United States,Premium,24,$79.00,Walk-in,14,3.89,14,0,0.83,No,7.0,1,0,0,0
NF-100229,2021-07-15,33.0,Male,Denver,United States,Basic,12,$29.00,Walk-in,6,1.15,3,0,1.58,No,7.0,0,0,0,0
NF-102218,2022-02-24,24.0,Female,Raleigh,United States,Premium,12,$79.00,Website,14,3.43,11,7,10.89,Yes,7.0,0,2,0,0
NF-102212,2021-11-04,35.0,Female,Portland,United States,Plus,1,$45.00,Partner Promo,10,1.5,6,0,2.19,No,,0,0,1,1
NF-102563,2021-07-20,35.0,F,Columbus,United States,Basic,6,$34.00,Referral,7,2.83,11,3,2.61,Yes,6.0,0,1,0,0
NF-100082,2022-09-26,24.0,Male,Denver,United States,Basic,6,$25.00,Mobile App,21,2.71,9,5,2.12,Yes,6.0,0,0,1,1
NF-102377,2021-02-11,49.0,Male,Austin,United States,Basic,1,$29.00,Website,1,2.9,7,0,1.48,Yes,7.0,0,1,0,0
NF-102410,2022-07-19,36.0,Other,Austin,United States,Basic,1,$34.00,Mobile App,19,2.78,7,6,4.45,No,6.0,0,0,0,0
NF-100272,2021-07-15,28.0,Female,Denver,United States,Plus,6,$45.00,Referral,6,2.15,5,0,4.75,Yes,5.0,0,1,0,0
NF-102202,2021-10-21,29.0,F,Portland,United States,Plus,12,$54.00,Website,10,1.44,6,0,,Yes,5.0,0,1,0,0
NF-102836,2023-07-22,40.0,Male,Austin,United States,Plus,1,$45.00,Website,31,2.39,9,2,1.95,Yes,5.0,0,0,1,1
NF-102925,2021-04-28,20.0,M,Austin,United States,Plus,1,$49.00,Website,4,3.44,11,0,6.55,Yes,8.0,0,1,0,0
NF-102856,2023-08-31,43.0,M,Portland,United States,Plus,1,$49.00,Walk-in,32,2.15,7,0,2.78,Yes,9.0,0,0,0,0
NF-101588,2022-05-13,53.0,Female,Portland,United States,Basic,1,$29.00,Website,16,0.95,5,0,3.79,Yes,4.0,0,0,0,0
NF-100446,2023-05-15,52.0,male,Austin,United States,Basic,1,$29.00,Walk-in,28,1.74,4,8,13.79,Yes,,1,1,0,1
NF-100692,2021-01-17,30.0,Female,Denver,United States,Plus,12,$49.00,Mobile App,1,1.6,5,5,3.24,Yes,5.0,0,0,0,0
NF-101573,2022-03-26,19.0,Female,Portland,United States,Basic,1,$29.00,Walk-in,15,1.1,4,5,,Yes,6.0,0,0,1,1
NF-102116,2021-06-25,58.0,F,Austin,United States,Basic,1,$29.00,Website,6,1.15,6,0,5.89,No,5.0,0,0,0,0
NF-101351,2023-07-09,28.0,F,Denver,United States,Premium,24,$79.00,Mobile App,30,2.29,7,0,2.07,No,6.0,1,0,0,0
NF-102300,2021-04-18,42.0,F,Columbus,United States,Basic,6,$34.00,Website,4,1.72,5,0,4.81,No,6.0,1,0,1,1
NF-101615,2021-03-01,33.0,Female,Austin,United States,Basic,6,$29.00,Walk-in,2,1.46,6,0,0.93,No,5.0,0,0,0,0
NF-102488,2023-08-31,52.0,F ,Columbus,United States,Basic,1,$29.00,Mobile App,32,2.12,5,0,3.19,Yes,9.0,0,3,0,0
NF-101503,2023-04-01,30.0,Male,Raleigh,United States,Plus,6,$54.00,Website,27,2.21,6,0,0.61,Yes,8.0,0,1,0,0
NF-101227,2022-05-07,29.0,Female,Austin,United States,Basic,12,$34.00,Website,16,1.4,5,7,1.88,Yes,,0,0,1,1
NF-101297,2023-01-28,42.0,male,Raleigh,United States,Plus,1,$45.00,Walk-in,25,2.28,8,0,2.58,Yes,6.0,0,1,0,0
NF-102980,2022-05-23,37.0, Male,Portland,United States,Plus,12,$49.00,Mobile App,17,1.78,4,0,13.73,Yes,4.0,1,1,1,1
NF-102189,2023-04-21,40.0,F,Columbus,United States,Basic,1,$34.00,Walk-in,28,4.52,15,0,5.15,Yes,6.0,0,0,0,0
NF-102010,2022-02-04,39.0,Female,Austin,United States,Plus,12,$49.00,Mobile App,13,2.41,9,0,1.03,Yes,8.0,0,1,0,0
NF-101834,2022-06-02,29.0,F,Austin,United States,Plus,12,$49.00,Mobile App,17,1.72,7,4,3.62,Yes,7.0,0,0,1,1
NF-101223,2023-01-07,31.0,F,Austin,United States,Plus,6,$49.00,Website,24,0.89,2,0,3.03,No,3.0,0,0,1,1
NF-102852,2021-02-12,43.0,Male,Portland,United States,Plus,1,$45.00,Partner Promo,1,1.53,5,3,2.93,No,4.0,0,0,1,1
NF-101617,2021-06-30,29.0,F,Austin,United States,Basic,1,$34.00,Mobile App,6,1.9,5,8,3.03,No,7.0,1,0,0,0
NF-100448,2021-04-23,3.0,Male,Austin,United States,Plus,6,$49.00,Referral,4,1.11,2,1,2.05,No,4.0,2,0,1,1
NF-100212,2022-03-05,35.0,F,Portland,United States,Plus,6,$49.00,Walk-in,14,3.12,10,0,3.11,Yes,9.0,0,0,0,0
NF-102040,2023-05-01,28.0,Female,Portland,United States,Basic,6,$29.00,Walk-in,28,1.14,5,0,4.07,Yes,5.0,1,0,0,0
NF-100838,2023-07-07,17.0,F,Portland,United States,Premium,12,$84.00,Website,30,2.29,7,8,1.86,Yes,8.0,0,1,0,0
NF-101222,2021-04-08,38.0,Other,Austin,United States,Plus,12,$49.00,Mobile App,3,1.67,8,0,0.97,Yes,,0,1,1,1
NF-101328,2023-08-31,42.0,Male,Portland,United States,Plus,12,$49.00,Website,32,2.31,8,0,0.98,Yes,8.0,0,0,0,0
NF-101589,2022-04-25,46.0,Male,Austin,United States,Plus,12,$49.00,Mobile App,16,2.5,9,3,3.27,Yes,5.0,0,0,0,0
NF-100876,2021-03-12,43.0,Female,Austin,United States,Plus,12,$45.00,Website,2,2.39,8,4,1.63,Yes,8.0,0,1,0,0
NF-101403,2022-09-02,22.0,Female,Portland,United States,Plus,12,$49.00,Website,20,2.32,6,0,3.04,No,4.0,2,2,0,0
NF-102756,2021-05-14,26.0,female,Raleigh,United States,Plus,6,$45.00,Walk-in,4,1.12,4,0,1.61,Yes,6.0,0,0,0,1
NF-101824,2021-01-24,62.0, Male,Columbus,United States,Premium,24,$79.00,Website,1,3.72,12,7,4.43,Yes,7.0,0,2,0,0
NF-101167,2022-09-02,41.0,male,Austin,United States,Premium,12,$79.00,Mobile App,20,3.97,13,8,2.3,Yes,8.0,0,2,0,0
NF-101755,2022-07-27,46.0,Prefer not to say,Raleigh,United States,Basic,6,$29.00,Walk-in,19,1.95,4,1,0.83,Yes,5.0,0,0,0,0
NF-102199,2021-07-24,,F,Portland,United States,Plus,6,$49.00,Partner Promo,7,1.24,3,0,2.19,No,7.0,0,0,0,0
NF-102886,2021-06-07,37.0,Male,Raleigh,United States,Basic,1,$34.00,Walk-in,5,4.66,15,0,,No,10.0,0,0,0,0
NF-100440,2021-11-24,42.0,Male,Denver,United States,Plus,12,$45.00,Walk-in,11,0.52,2,2,0.74,Yes,5.0,1,0,0,0
NF-100652,2023-06-15,36.0,male,Columbus,United States,Basic,1,$29.00,Website,29,1.76,6,8,1.87,No,6.0,0,1,0,0
NF-102664,2021-04-17,50.0,Male,Denver,United States,Plus,6,$49.00,Walk-in,3,1.17,3,0,1.93,No,,1,0,1,1
NF-100628,2023-03-28,28.0,Female,Denver,United States,Premium,12,$79.00,Walk-in,27,0.59,2,0,3.08,No,4.0,2,0,0,0
NF-100808,2021-12-10,37.0,F ,Columbus,United States,Basic,1,$29.00,Referral,11,0.99,6,1,3.02,Yes,4.0,1,0,1,1
NF-101909,2023-07-20,57.0,M,Austin,United States,Basic,1,$29.00,Partner Promo,31,2.38,8,0,8.56,Yes,8.0,0,0,1,1
NF-102662,2022-06-04,37.0,Male,Austin,United States,Basic,1,$34.00,Walk-in,17,1.83,6,0,4.38,Yes,8.0,1,1,1,1
NF-100407,2023-07-13,44.0,Male,Denver,United States,Basic,1,$34.00,Mobile App,30,1.94,6,9,0.55,Yes,6.0,2,0,0,0
NF-102667,2021-06-23,21.0,Male,Columbus,United States,Basic,1,$29.00,Walk-in,6,1.86,6,0,5.04,Yes,8.0,1,0,0,0
NF-101493,2021-11-16,29.0,F,Austin,United States,Plus,1,$54.00,Website,10,3.06,7,5,2.59,No,6.0,0,0,0,0
NF-102014,2022-03-23,44.0,MALE,Raleigh,United States,Basic,12,$29.00,Referral,15,2.16,6,10,,Yes,8.0,0,0,0,0
NF-102181,2023-01-24,19.0,Male,Denver,United States,Premium,24,$79.00,Referral,25,2.39,8,0,2.65,Yes,9.0,0,0,0,0
NF-101203,2022-05-06,44.0,F ,Austin,United States,Basic,1,$29.00,Mobile App,16,3.04,7,0,1.68,Yes,8.0,2,2,0,0
NF-100814,2022-12-07,16.0,F,Denver,United States,Plus,12,$45.00,Website,23,0.84,3,0,,No,,1,0,1,1
NF-102270,2021-08-25,41.0,Male,Denver,United States,Premium,24,$84.00,Referral,8,1.47,3,0,0.83,No,6.0,0,2,0,0
NF-100741,2021-07-16,29.0,F ,Austin,United States,Plus,12,$45.00,Mobile App,6,1.4,5,0,0.88,Yes,6.0,0,0,1,1
NF-101800,2022-07-04,21.0,F,Austin,United States,Basic,1,$29.00,Website,18,1.08,6,0,2.85,Yes,5.0,1,0,0,1
NF-101809,2021-03-30,36.0,female,Austin,United States,Basic,1,$29.00,Mobile App,3,3.22,9,7,2.32,Yes,7.0,0,1,0,0
NF-100285,2022-07-30,50.0,Male,Portland,United States,Basic,1,$29.00,Walk-in,19,1.82,7,1,3.63,No,6.0,0,0,0,0
NF-101691,2021-12-13,28.0,male,Austin,United States,Basic,1,$29.00,Walk-in,11,2.8,8,2,0.58,No,9.0,0,0,0,0
NF-100592,2021-06-19,38.0,Female,Denver,United States,Basic,1,$29.00,Mobile App,6,1.98,7,0,0.31,Yes,7.0,2,0,1,1
NF-101680,2023-06-17,47.0,Male,Denver,United States,Basic,1,$34.00,Website,30,2.7,10,0,3.51,No,7.0,1,1,0,0
NF-101506,2022-08-10,36.0,M,Denver,United States,Plus,6,$49.00,Website,19,1.1,3,0,1.4,Yes,,0,0,0,0
NF-102383,2022-06-02,18.0,Male,Portland,United States,Basic,1,$29.00,Walk-in,17,1.51,4,0,2.77,Yes,,0,0,0,0
NF-102331,2023-02-17,54.0,male,Raleigh,United States,Basic,6,$29.00,Referral,26,1.35,5,10,2.46,Yes,5.0,0,0,0,0
NF-101120,2021-04-28,48.0,F,Columbus,United States,Plus,6,$49.00,Website,4,1.45,5,0,,No,5.0,2,0,1,1
NF-101398,2021-08-08,45.0,Female,Austin,United States,Plus,6,$49.00,Referral,7,3.65,13,0,7.04,Yes,8.0,0,0,0,0
NF-102003,2023-05-10,29.0,Female,Austin,United States,Premium,24,$79.00,Website,28,1.53,5,1,3.57,Yes,6.0,2,0,0,0
NF-101996,2023-07-02,35.0,Male,Portland,United States,Basic,1,$25.00,Mobile App,30,0.99,4,0,8.17,Yes,7.0,1,0,0,0
NF-100349,2021-01-07,42.0,female,Raleigh,United States,Basic,1,$29.00,Website,1,2.1,6,1,3.93,Yes,5.0,1,0,1,1
NF-102717,2022-12-31,39.0,female,Austin,United States,Basic,12,$34.00,Website,24,3.06,12,0,11.64,Yes,6.0,0,0,0,0
NF-100972,2021-03-03,34.0,F,Portland,United States,Basic,12,$34.00,Walk-in,2,0.58,1,0,5.96,Yes,3.0,0,0,0,1
NF-102460,2022-08-02,46.0,MALE,Denver,United States,Plus,6,$49.00,Website,19,0.05,0,1,12.19,Yes,,1,0,1,1
NF-102507,2022-09-20,39.0,male,Austin,United States,Basic,1,$29.00,Walk-in,21,2.47,8,5,,Yes,,0,1,1,1
